Cluster	Markers	CellType
0	FABP4,SOX17,FLT1	EC(capillary_or_artery)
17	FABP4,SOX17,FLT1	EC(capillary_or_artery)
7	ACKR1,SELE,PLVAP	EC(vein)
1	DCN,COL1A1,COL3A1,FBLN1,FBLN2	FAP
4	DCN,COL1A1,COL3A1,FBLN1,FBLN2	FAP
13	DCN,COL1A1,COL3A1,FBLN1,FBLN2	FAP
12	CLDN1,TENM2,TAC1	Fibroblast
2	ACTA2,MYH11,MCAM	SMC
15	ACTA2,MYH11,MCAM	SMC
8	PAX7,TENM4,CALCR	MuSC
19	MYH7,TNNT1,MYH1,MYH2	Myofiber
3	CSF3R,S100A8,S100A9	Neutrophil
5	CSF3R,S100A8,S100A9	Neutrophil
11	LYZ,FCN1,CTSS	Monocyte
10	CD1C,C1QA,C1QB	Macrophage
6	ABCC9,STEAP4,KCNJ8	Pericyte
9	TNMD,THBS4,POSTN	Tenocyte
14	CD3D,CD3E,CD3G	T cell
18	RHOH,CD79A,MS4A1	B cell
16	MPZ,PMP22,MBP,CDH19	Schwann
